unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,total_count
1734649200,Purchase,2,0,0,0,0,2
1734807600,Purchase,1,0,0,0,0,1
1734811200,Purchase,1,0,0,0,0,1
1734829200,Purchase,1,0,0,0,0,1
1734872400,Purchase,5,0,0,0,0,5
1734940800,Purchase,2,0,0,0,0,2
1734969600,Purchase,1,0,0,0,0,1
1734973200,Purchase,3,0,0,0,0,3
1735005600,Purchase,1,0,0,0,0,1
1735030800,Purchase,1,0,0,0,0,1
1735131600,Purchase,2,0,0,0,0,2
1735203600,Purchase,1,0,0,0,0,1
1735225200,Purchase,2,0,0,0,0,2
1735228800,Purchase,1,0,0,0,0,1
1735236000,Purchase,1,0,0,0,0,1
1735290000,Purchase,1,0,0,0,0,1
1735300800,Purchase,2,0,0,0,0,2
1735315200,Purchase,1,0,0,0,0,1
1735318800,Purchase,1,0,0,0,0,1
1735329600,Purchase,1,0,0,0,0,1
1735376400,Purchase,1,0,0,0,0,1
1735390800,Purchase,1,0,0,0,0,1
1735405200,Purchase,1,0,0,0,0,1
1735408800,Purchase,1,0,0,0,0,1
1735412400,Purchase,4,0,0,0,0,4
1735416000,Purchase,4,0,0,0,0,4
1735430400,Purchase,2,0,0,0,0,2
1735462800,Purchase,5,0,0,0,0,5
1735466400,Purchase,3,0,0,0,0,3
1735470000,Purchase,8,0,0,0,0,8
1735473600,Purchase,5,0,0,0,0,5
1735477200,Purchase,5,0,0,0,0,5
1735480800,Purchase,3,0,0,0,0,3
1735484400,Purchase,2,0,0,0,0,2
1735488000,Purchase,5,0,0,0,0,5
1735491600,Purchase,10,0,0,0,0,10
1735495200,Purchase,1,0,0,0,0,1
1735498800,Purchase,3,0,0,0,0,3
1735502400,Purchase,1,0,0,0,0,1
1735506000,Purchase,3,0,0,0,0,3
1735509600,Purchase,3,0,0,0,0,3
1735513200,Purchase,3,0,0,0,0,3
1735516800,Purchase,8,0,0,0,0,8
1735552800,Purchase,1,0,0,0,0,1
1735563600,Purchase,4,0,0,0,0,4
1735567200,Purchase,4,0,0,0,0,4
1735570800,Purchase,7,0,0,0,0,7
1735574400,Purchase,3,0,0,0,0,3
1735592400,Purchase,3,0,0,0,0,3
1735596000,Purchase,6,0,0,0,0,6
1735599600,Purchase,3,0,0,0,0,3
1735603200,Purchase,5,0,0,0,0,5
1735632000,Purchase,11,0,0,0,0,11
1735635600,Purchase,3,0,0,0,0,3
1735639200,Purchase,1,0,0,0,0,1
1735642800,Purchase,5,0,0,0,0,5
1735646400,Purchase,19,0,0,0,0,19
1735650000,Purchase,1,0,0,0,0,1
1735653600,Purchase,14,0,0,0,0,14
1735657200,Purchase,6,0,0,0,0,6
1735660800,Purchase,4,0,0,0,0,4
1735664400,Purchase,2,0,0,0,0,2
1735668000,Purchase,3,0,0,0,0,3
1735675200,Purchase,4,0,0,0,0,4
1735678800,Purchase,3,0,0,0,0,3
1735682400,Purchase,7,0,0,0,0,7
1735686000,Purchase,9,0,0,0,0,9
1735689600,Purchase,4,0,0,0,0,4
1735693200,Purchase,1,0,0,0,0,1
1735696800,Purchase,5,0,0,0,0,5
1735700400,Purchase,5,0,0,0,0,5
1735704000,Purchase,5,0,0,0,0,5
1735707600,Purchase,1,0,0,0,0,1
1735725600,Purchase,2,0,0,0,0,2
1735736400,Purchase,18,0,0,0,0,18
1735740000,Purchase,3,0,0,0,0,3
1735754400,Purchase,2,0,0,0,0,2
1735758000,Purchase,2,0,0,0,0,2
1735761600,Purchase,5,0,0,0,0,5
1735765200,Purchase,4,0,0,0,0,4
1735772400,Purchase,3,0,0,0,0,3
1735776000,Purchase,6,0,0,0,0,6
1735779600,Purchase,1,0,0,0,0,1
1735783200,Purchase,2,0,0,0,0,2
1735790400,Purchase,1,0,0,0,0,1
1735801200,Purchase,4,0,0,0,0,4
1735808400,Purchase,3,0,0,0,0,3
1735812000,Purchase,5,0,0,0,0,5
1735815600,Purchase,1,0,0,0,0,1
1735819200,Purchase,5,0,0,0,0,5
1735822800,Purchase,8,0,0,0,0,8
1735826400,Purchase,2,0,0,0,0,2
1735833600,Purchase,5,0,0,0,0,5
1735840800,Purchase,1,0,0,0,0,1
