unix_time_start,event,browser_received_count,server_received_count,facebook_sdk_received_count,mmp_received_count,ae_api_received_count,total_count
1734278400,PageView,1,0,0,0,0,1
1734282000,PageView,1,0,0,0,0,1
1734321600,PageView,1,0,0,0,0,1
1734372000,PageView,4,0,0,0,0,4
1734429600,PageView,1,0,0,0,0,1
1734649200,PageView,2,0,0,0,0,2
1734807600,PageView,3,0,0,0,0,3
1734811200,PageView,7,0,0,0,0,7
1734814800,PageView,25,0,0,0,0,25
1734818400,PageView,28,0,0,0,0,28
1734829200,PageView,38,0,0,0,0,38
1734832800,PageView,88,0,0,0,0,88
1734836400,PageView,6,0,0,0,0,6
1734840000,PageView,1,0,0,0,0,1
1734872400,PageView,5,0,0,0,0,5
1734876000,PageView,50,0,0,0,0,50
1734879600,PageView,17,0,0,0,0,17
1734883200,PageView,17,0,0,0,0,17
1734886800,PageView,14,0,0,0,0,14
1734890400,PageView,14,0,0,0,0,14
1734894000,PageView,4,0,0,0,0,4
1734897600,PageView,19,0,0,0,0,19
1734901200,PageView,16,0,0,0,0,16
1734904800,PageView,18,0,0,0,0,18
1734908400,PageView,13,0,0,0,0,13
1734912000,PageView,24,0,0,0,0,24
1734915600,PageView,24,0,0,0,0,24
1734919200,PageView,20,0,0,0,0,20
1734922800,PageView,9,0,0,0,0,9
1734926400,PageView,1,0,0,0,0,1
1734930000,PageView,210,0,0,0,0,210
1734937200,PageView,1,0,0,0,0,1
1734940800,PageView,53,0,0,0,0,53
1734944400,PageView,39,0,0,0,0,39
1734948000,PageView,65,0,0,0,0,65
1734951600,PageView,2,0,0,0,0,2
1734955200,PageView,3,0,0,0,0,3
1734958800,PageView,3,0,0,0,0,3
1734962400,PageView,29,0,0,0,0,29
1734966000,PageView,31,0,0,0,0,31
1734969600,PageView,2,0,0,0,0,2
1734973200,PageView,4,0,0,0,0,4
1734976800,PageView,2,0,0,0,0,2
1734991200,PageView,47,0,0,0,0,47
1734994800,PageView,42,0,0,0,0,42
1735002000,PageView,8,0,0,0,0,8
1735005600,PageView,2,0,0,0,0,2
1735027200,PageView,494,0,0,0,0,494
1735030800,PageView,123,0,0,0,0,123
1735034400,PageView,16,0,0,0,0,16
1735038000,PageView,64,0,0,0,0,64
1735041600,PageView,139,0,0,0,0,139
1735045200,PageView,21,0,0,0,0,21
1735048800,PageView,42,0,0,0,0,42
1735052400,PageView,39,0,0,0,0,39
1735056000,PageView,35,0,0,0,0,35
1735059600,PageView,23,0,0,0,0,23
1735063200,PageView,4,0,0,0,0,4
1735077600,PageView,1,0,0,0,0,1
1735092000,PageView,1,0,0,0,0,1
1735095600,PageView,2,0,0,0,0,2
1735131600,PageView,2,0,0,0,0,2
1735153200,PageView,1,0,0,0,0,1
1735182000,PageView,14,0,0,0,0,14
1735185600,PageView,2,0,0,0,0,2
1735200000,PageView,2,0,0,0,0,2
1735203600,PageView,18,0,0,0,0,18
1735207200,PageView,1,0,0,0,0,1
1735218000,PageView,194,0,0,0,0,194
1735225200,PageView,79,0,0,0,0,79
1735228800,PageView,61,0,0,0,0,61
1735232400,PageView,40,0,0,0,0,40
1735236000,PageView,38,0,0,0,0,38
1735239600,PageView,15,0,0,0,0,15
1735243200,PageView,2,0,0,0,0,2
1735246800,PageView,1,0,0,0,0,1
1735250400,PageView,1,0,0,0,0,1
1735279200,PageView,239,0,0,0,0,239
1735286400,PageView,28,0,0,0,0,28
1735290000,PageView,102,0,0,0,0,102
1735293600,PageView,55,0,0,0,0,55
1735297200,PageView,305,0,0,0,0,305
1735300800,PageView,229,0,0,0,0,229
1735304400,PageView,67,0,0,0,0,67
1735308000,PageView,24,0,0,0,0,24
1735311600,PageView,32,0,0,0,0,32
1735315200,PageView,29,0,0,0,0,29
1735318800,PageView,27,0,0,0,0,27
1735322400,PageView,30,0,0,0,0,30
1735326000,PageView,21,0,0,0,0,21
1735329600,PageView,14,0,0,0,0,14
1735333200,PageView,57,0,0,0,0,57
1735336800,PageView,62,0,0,0,0,62
1735340400,PageView,52,0,0,0,0,52
1735344000,PageView,46,0,0,0,0,46
1735347600,PageView,26,0,0,0,0,26
1735351200,PageView,1,0,0,0,0,1
1735354800,PageView,1,0,0,0,0,1
1735376400,PageView,150,0,0,0,0,150
1735380000,PageView,58,0,0,0,0,58
